,fine_label,prediction,sent
10656,1,2,Even accepting this in the right frame of mind can only provide it with so much leniency .
10658,1,3,All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .
10661,0,2,For dance completists only .
10662,0,3,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations"
10665,2,1,"Yo , it 's The Days Of Our Lives meets Electric Boogaloo ."
10666,0,1,"I liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere ."
10667,0,3,"This little film is so slovenly done , so primitive in technique , that it ca n't really be called animation ."
10668,0,1,Makes 98 minutes feel like three hours .
10671,1,3,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .
10672,0,1,"The title , alone , should scare any sane person away ."
10675,0,1,It 's crap on a leash -- far too polite to scale the lunatic heights of Joe Dante 's similarly styled Gremlins .
10678,2,1,Let 's face it -- there are n't many reasons anyone would want to see Crossroads if they 're not big fans of teen pop kitten Britney Spears .
10681,0,1,"The movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory ."
10682,1,3,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .
10683,0,1,Maid in Manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .
10685,2,1,I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .
10689,1,3,"Forgettable , if good-hearted , movie ."
10690,1,4,The film 's most improbable feat ?
10691,2,1,It did n't go straight to video .
10692,0,3,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
10693,1,3,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .
10694,0,3,"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience ."
10695,3,1,It 's not too fast and not too slow .
10696,2,1,It 's not too racy and it 's not too offensive .
10699,2,0,About as original as a gangster sweating bullets while worrying about a contract on his life .
10701,2,3,"We could have expected a little more human being , and a little less product ."
10703,2,1,Whether Quitting will prove absorbing to American audiences is debatable .
10704,0,1,Becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .
