,coarse_label,prediction,sent
10656,0,1,Even accepting this in the right frame of mind can only provide it with so much leniency .
10661,0,1,For dance completists only .
10662,0,1,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations"
10664,0,1,The locale ... remains far more interesting than the story at hand .
10671,0,1,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .
10676,0,1,One of the most depressing movie-going experiences I can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .
10682,0,1,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .
10689,0,1,"Forgettable , if good-hearted , movie ."
10690,0,1,The film 's most improbable feat ?
10692,0,1,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
10693,0,1,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .
10694,0,1,"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience ."
10695,1,0,It 's not too fast and not too slow .
10705,0,1,Family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance .
10708,1,0,Two tedious acts light on great scares and a good surprise ending .
10710,0,1,The entire movie is in need of a scented bath .
10712,0,1,"The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult ."
10717,0,1,"It looks good , but it is essentially empty ."
10718,0,1,The film never finds its tone and several scenes run too long .
10722,0,1,Do we really need another film that praises female self-sacrifice ?
10726,0,1,"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense ."
10728,0,1,This film is too busy hitting all of its assigned marks to take on any life of its own .
10731,0,1,Starts off witty and sophisticated and you want to love it -- but filmmaker Yvan Attal quickly writes himself into a corner .
10732,0,1,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .
10739,0,1,"As a feature-length film , it wears out its welcome as tryingly as the title character ."
10752,0,1,The leads we are given here are simply too bland to be interesting .
10754,0,1,Adam Sandler 's 8 Crazy Nights is 75 wasted minutes of Sandler as the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie .
10759,0,1,A singularly off-putting romantic comedy .
10760,0,1,This is an exercise not in biography but in hero worship .
10761,0,1,It all comes down to whether you can tolerate Leon Barlow .
10763,0,1,"In the spirit of the season , I assign one bright shining star to Roberto Benigni 's Pinocchio -- but I guarantee that no wise men will be following after it ."
10767,0,1,A culture clash comedy only half as clever as it thinks it is .
10771,0,1,"Starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis with a scar ."
10772,0,1,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes ."
10776,0,1,"Its screenplay serves as auto-critique , and its clumsiness as its own most damning censure ."
10782,0,1,"A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor ."
10790,0,1,"Like Mike is a slight and uninventive movie : Like the exalted Michael Jordan referred to in the title , many can aspire but none can equal ."
10796,0,1,"From its nauseating spinning credits sequence to a very talented but underutilized supporting cast , Bartleby squanders as much as it gives out ."
10797,0,1,"Yet another genre exercise , Gangster No. 1 is as generic as its title ."
10799,0,1,"There 's an admirable rigor to Jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down ."
10801,0,1,"A lightweight , uneven action comedy that freely mingles French , Japanese and Hollywood cultures ."
10809,0,1,A disappointment for a movie that should have been the ultimate IMAX trip .
10819,0,1,"A clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ..."
10824,0,1,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit ."
10825,0,1,"This is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least ."
10826,0,1,"It 's as if Allen , at 66 , has stopped challenging himself ."
10834,0,1,Here the love scenes all end in someone screaming .
10840,0,1,"Presents nothing special and , until the final act , nothing overtly disagreeable ."
10856,1,0,"While the material is slight , the movie is better than you might think ."
10859,0,1,"More busy than exciting , more frantic than involving , more chaotic than entertaining ."
10861,0,1,It 's makes a better travelogue than movie .
10867,0,1,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .
10871,0,1,"If this is cinema , I pledge allegiance to Cagney and Lacey ."
10879,0,1,"Perry 's good and his is an interesting character , but `` Serving Sara '' has n't much more to serve than silly fluff ."
10885,0,1,"Right now , they 're merely signposts marking the slow , lingering death of imagination ."
10891,0,1,"Piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent ."
10896,0,1,A sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .
10899,0,1,There 's not a comedic moment in this romantic comedy .
