,fine_gt,fine_guess,sample_sents
11185,2,1,A movie that falls victim to frazzled wackiness and frayed satire .
11708,4,3,A well-executed spy-thriller .
2887,4,3,"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending ."
561,2,3,It 's a Count for our times .
1310,4,3,Manages to be sweet and wickedly satisfying at the same time .
5165,3,2,An intimate contemplation of two marvelously messy lives .
7743,0,1,"For all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when Godard can no longer handle the rigors of filmmaking ."
2779,2,1,Acting can not be acted .
7491,2,3,Jacquot 's rendering of Puccini 's tale of devotion and double-cross is more than just a filmed opera .
6587,2,4,"I had more fun with Ben Stiller 's Zoolander , which I thought was rather clever ."
9375,1,0,Nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .
8786,1,2,"The low-budget Full Frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and Solaris is its big-budget brother ."
3687,3,2,More good than great but Freeman and Judd make it work .
9498,2,1,"Yet another movie which presumes that high school social groups are at war , let alone conscious of each other 's existence ."
8580,1,0,A minor picture with a major identity crisis -- it 's sort of true and it 's sort of bogus and it 's ho-hum all the way through .
3915,3,4,"Its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work ."
3197,3,4,Beautifully reclaiming the story of Carmen and recreating it an in an African idiom .
5177,3,4,In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .
5641,1,2,Has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .
6057,1,2,No laughs .
